Question,Answer
What can you do with a video game?,Here are three common video game.
How does a video game work?,video game can be explained in simple words.
Why is a video game needed?,A video game is used when needed in everyday tasks.
What is a sport?,Choosing a sport depends on your needs.
What does sport mean?,A good sport depends on personal preference.
What is the purpose of a sport?,Beginners understand sport through basic examples.
Why do people like sport?,Some sport are well known and easy to choose.
How is a sport used?,The purpose of a sport is to help or entertain people.
Name a popular sport.,People use sport because it solves simple needs.
Give an example of a sport.,What makes sport special is its purpose.
Give top 3 sport.,A basic fact about sport is easy to understand.
